CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost
0.147152,0.150044,1.08007,1,0.628356,0.00355955,0.477479,
0.147152,0.225044,1.11869,1,0.632237,0.00355955,0.477479,
0.147152,0.300044,1.17086,1,0.634177,0.00355955,0.477479,
-0.000473105,4.99821e-06,1.75292,1,1,0.000591382,0.477466,
0,0,1.75519,1,1,0.000591382,0.477466,
0.0495269,-0.299995,1.58629,1,0.645824,0.000591382,0.477466,
0.0495269,-0.224995,1.55695,1,0.647765,0.000591382,0.477466,
0.0495269,-0.149995,1.53545,1,0.651647,0.000591382,0.477466,
0.0495269,-0.074995,1.52219,1,0.663295,0.000591382,0.477466,
0.0495269,4.99821e-06,1.51747,1,1,0.000591382,0.477466,
0.0495269,0.075005,1.52137,1,0.616708,0.000591382,0.477466,
0.0495269,0.150005,1.53381,1,0.628353,0.000591382,0.477466,
0.0495269,0.225005,1.55453,1,0.632236,0.000591382,0.477466,
0.0495269,0.300005,1.58312,1,0.634177,0.000591382,0.477466,
0.0995269,-0.299995,1.37433,1,0.645824,0.000591382,0.477466,
0.0995269,-0.224995,1.33328,1,0.647765,0.000591382,0.477466,
0.0995269,-0.149995,1.30292,1,0.651647,0.000591382,0.477466,
0.0995269,-0.074995,1.28413,1,0.663295,0.000591382,0.477466,
0.0995269,4.99821e-06,1.27747,1,1,0.000591382,0.477466,
0.0995269,0.075005,1.28315,1,0.616708,0.000591382,0.477466,
0.0995269,0.150005,1.30099,1,0.628353,0.000591382,0.477466,
0.0995269,0.225005,1.33045,1,0.632236,0.000591382,0.477466,
0.0995269,0.300005,1.37067,1,0.634177,0.000591382,0.477466,
0.149527,-0.299995,1.16527,1,0.645824,0.000591382,0.477466,
0.149527,-0.224995,1.11156,1,0.647765,0.000591382,0.477466,
0.149527,-0.149995,1.07141,1,0.651647,0.000591382,0.477466,
0.149527,-0.074995,1.04636,1,0.663295,0.000591382,0.477466,
0.149527,4.99821e-06,1.03747,1,1,0.000591382,0.477466,
0.149527,0.075005,1.04516,1,0.616708,0.000591382,0.477466,
0.149527,0.150005,1.06907,1,0.628353,0.000591382,0.477466,
0.149527,0.225005,1.10817,1,0.632236,0.000591382,0.477466,
0.149527,0.300005,1.16095,1,0.634177,0.000591382,0.477466,
-0.0004571,3.28998e-06,1.753,1,1,0.000571375,0.477466,
0,0,1.75519,1,1,0.000571375,0.477466,
